INDEX,TARGET,FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,pH,Sulphates,Alcohol,LabelAppeal,AcidIndex,STARS
1,3,3.2,1.16,-.98,54.2,-.567, ,268,.9928,3.33,-.59,9.9,0,8,2
2,3,4.5,.16,-.81,26.1,-.425,15,-327,1.02792,3.38,.7, ,-1,7,3
4,5,7.1,2.64,-.88,14.8,.037,214,142,.99518,3.12,.48,22,-1,8,3
5,3,5.7,.385,.04,18.8,-.425,22,115,.9964,2.24,1.83,6.2,-1,6,1
6,4,8,.33,-1.26,9.4, ,-167,108,.99457,3.12,1.77,13.7,0,9,2
7,0,11.3,.32,.59,2.2,.556,-37,15,.9994,3.2,1.29,15.4,0,11, 
8,0,7.7,.29,-.4,21.5,.06,287,156,.99572,3.49,1.21,10.3,0,8, 
11,4,6.5,-1.22,.34,1.4,.04,523,551,1.03236,3.2, ,11.6,1,7,3
12,3,14.8,.27,1.05,11.25,-.007,-213, ,.9962,4.93,.26,15,0,6, 
13,6,5.5,-.22,.39,1.8,-.277,62,180,.94724,3.09,.75,12.6,0,8,4
14,0,-17.2,.52,.15,-33.8,-.022,551,65,.9934,4.31,.56,13.1,1,5,1
15,4,9,.22,.49,10.4,-.15, ,195,1.05918,3.01,-.4,10.2,0,10,2
16,3,6,.33,-1.06,3,.518,5,378,.96643,3.55,-.86,3.9,1,7,2
17,7,14.9,.32,.34,1.3,.042,20, ,.95523,2.93,2.16,12,2,8,3
19,4,21.8,.51,1.83,2.9,-.165,-49,45,.9974,6.02,2.23,12.1,0,9, 
20,0,5.7,.5,-.11,6.1,.071,234,-331,.9978,3.35, ,6.8,0,8, 
22,0,7.9,.6,.06,50.4,.069,15,339,.9964,3.3,.46,3.9,1,9, 
23,4,-1.3,.22,2.95,-53,.541,-85,-266,.99672,3.61,.82,10,0,8,3
24,5,10,.23,.27,14.1,.033,-188,229,.9988,3.14,.88,11,1,11,2
25,4,6.8,.475,-.2,-50.75,.047,-88,508,.99403,3.23,.35,18.3,-1,8,2
26,3,5.8,.76,.33,-26,-.195,87,-283,.9885,3.07,.56,11.4,-1,6,1
27,2,6.5,.24,.24,-18.2,-.182,15,60,1.00916,3.19,-1.01,9.8,-1,7,1
28,3,7.1,.97,.25,11.2,.135,32,180,1.00278,3.14,.42,9.5,0,8,1
29,4,4,.35,.67,4.2,.333,-257,-126,.98345,3.19,1.7,6.2,1,8, 
32,4,11.3,.17,.34,15.6,.044,330,139,.99752,3.06,3.83,9.1,0,7,2
